date,tone_score
2023-07-21,0.8088
2023-07-22,1.0016
2023-07-23,1.7331
2023-07-24,0.4001
2023-07-25,0.6028
2023-07-26,0.4634
2023-07-27,0.1943
2023-07-28,-0.0634
2023-07-29,0.5737
2023-07-30,-0.1975
2023-07-31,0.0759
2023-08-01,1.5946
2023-08-02,1.1093
2023-08-03,1.2372
2023-08-04,-0.1034
2023-08-05,0.5032
2023-08-06,1.6245
2023-08-07,0.4474
2023-08-08,-0.604
2023-08-09,-0.1917
2023-08-10,0.944
2023-08-11,0.5502
2023-08-12,1.2133
2023-08-13,1.1222
2023-08-14,0.9552
2023-08-15,1.487
2023-08-16,0.5514
2023-08-17,-0.8219
2023-08-18,-1.071
2023-08-19,1.8949
2023-08-20,-0.7345
2023-08-21,0.7239
2023-08-22,0.7435
2023-08-23,0.1512
2023-08-24,-0.0322
2023-08-25,0.9469
2023-08-26,0.2895
2023-08-27,1.277
2023-08-28,0.1582
2023-08-29,1.0789
2023-08-30,0.7028
2023-08-31,1.91
2023-09-01,-0.0189
2023-09-02,-1.3459
2023-09-03,0.1157
2023-09-04,0.3592
2023-09-05,-0.2964
2023-09-06,0.631
2023-09-07,-0.5594
2023-09-08,0.6373
2023-09-09,-0.1624
2023-09-10,0.2177
2023-09-11,-1.3251
2023-09-12,-0.3403
2023-09-13,-2.6938
2023-09-14,0.9228
2023-09-15,0.4475
2023-09-16,0.6294
2023-09-17,1.407
2023-09-18,1.6722
2023-09-19,1.3012
2023-09-20,0.7146
2023-09-21,0.4623
2023-09-22,1.7184
2023-09-23,0.1497
2023-09-24,0.69
2023-09-25,-0.0707
2023-09-26,0.579
2023-09-27,-0.9808
2023-09-28,1.1358
2023-09-29,1.7207
2023-09-30,1.5801
2023-10-01,1.1353
2023-10-02,0.8513
2023-10-03,-0.6493
2023-10-04,1.0542
2023-10-05,1.0573
2023-10-06,-0.2467
2023-10-07,1.3118
2023-10-08,1.0847
2023-10-09,-0.8029
2023-10-10,-0.1794
2023-10-11,1.0641
2023-10-12,-0.0479
2023-10-13,0.1835
2023-10-14,0.1427
2023-10-15,1.1241
2023-10-16,0.6968
2023-10-17,0.0684
2023-10-18,0.8715
2023-10-19,0.352
2023-10-20,1.0161
2023-10-21,0.2153
2023-10-22,-0.5754
2023-10-23,0.2176
2023-10-24,0.9131
2023-10-25,0.333
2023-10-26,1.4748
2023-10-27,1.0704
2023-10-28,0.3602
2023-10-29,2.5288
2023-10-30,1.4676
2023-10-31,1.6796
2023-11-01,0.6793
2023-11-02,-0.0555
2023-11-03,-1.2848
2023-11-04,1.1233
2023-11-05,1.8548
2023-11-06,0.4239
2023-11-07,-0.6281
2023-11-08,0.4561
2023-11-09,1.4069
2023-11-10,1.28
2023-11-11,0.2962
2023-11-12,0.7868
2023-11-13,0.8876
